Boncat;boncat cells n11 rep1 hsbnct.n11.300.1.d3 metagenome;boncat cells n11 rep1 hsbnct.n11.300.1.d6 metagenome;boncat cells n11 rep1 hsbnct.n11.300.1.e3 metagenome;boncat cells n11 rep1 hsbnct.n11.300.1.e4 metagenome;boncat cells n11 rep1 hsbnct.n11.300.1.e5 metagenome;boncat cells n11 rep1 hsbnct.n11.300.1.e6 metagenome;boncat cells n11 rep1 hsbnct.n11.300.1.c4 metagenome;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birth;birth;birth influences;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fungi/Fungal;ophiocordyceps;parasitic fungi;enriched fungal communities;fungal community composition;freshwater fungal communities;symbiotic fungi;fungi;mycobiota;endocronartium harknessii;cronartium quercuum f. sp. banksianae;fungus metagenome;cenococcum;chicken gut microbiota;gut metabolites;fecal samples;sclerotia;;;;;;;;;;;;;;;;;;
Parasite;helminths;ticks;parasites;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Litter;plant litter microbial communities;leaf litter metagenome;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elements/Chemicals;nickel;mercury;trimethylamine;ferrous salt;ammonia;sodium arsenite;uranium;phosphate;inulin;uranium-contaminated;c1-c4 short chain fatty acids;uranium-contaminated site;5-cyano-2;3-ditolyl tetrazolium chloride;;;;;;;;;;;;;;;;;;;;
Symbiont/Symbiotic;symbiont replacement;symbiotic fungi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Triticum;triticum aestivum;triticum spelta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sequencing;minion sequencing;illumina sequencing;illumina;sequencing platform;sequencing;high-throughput dna sequencing;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plants;rhizosphere;root endosphere;rhizosphere metagenome;lateral roots;mycorrhiza;pinus banksiana;p. tremula;lepidopterella-pinus;glonium-pinus;lateral roots;plant metagenome;vegetable;paraburkholderia;plant-growth-promotion;phyllosphere;plant-microbe-interaction;Cabbage looper;plant-herbivore interaction;epiphytes;actinorhizal;seed microbial community;cisthante sp. (pata de guanaco) rizhosphere;spruce roots microbial communities;phyllosphere microbial communities;standard nitrogen fertilization input;spruce rhizosphere microbial communities;phyllosphere metagenome;rhizosphere microbial communities;xylem-control metagenome;root nodule microbial communities;hardwood forest soil microbial communities;arbuscular mycorrhizal soil;ectomycorrhizal soil
Gut;mucin;butyrate;ileum;cecum;probiotics;inflammatory bowel disease;necrotizing enterocolitis (nec);mouse gut metagenome;cecum microbiota;gastrointestinal motility;intestinal inflammation;fecal sample;feces metagenome;chicken gut microbiota;fish gut metagenomes;gut metabolites;insect gut metagenome;invertebrate gut metagenome;lactobacillus helveticus r0052;rumen microbiome;intestinal microbiota;bovine rumen microbial communities;bovine gut metagenome;insect gut metagenome;;;;;;;;;
Food;diet;tetragenococcus halophilus;carnobacterium;fermented fish;lactobacillus spp.;fda inspections;foodborne pathogens;food production metagenome;lactobacillus delbrueckii;lactobacillus kefiri;kluyveromyces marxianus;foodborne disease;yams;solanum lycopersicum l.;maize cc-2;;;;;;;;;;;;;;;;;;;
Places;polar arctic circle;deception island;cerro caliente;mariana trench;algeria;fjord;china;atacama desert;east loma ridge;yellowstone lake;eddy worm burrow 2 cm metagenome;merrow island worm burrow metagenome;;merrow island sediment 2 metagenome;;;;;;;;;;;;;;;;;;;;
rdna;rdna;18s rrna;16S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viral;viral;hiv;tumorigenic viruses;viromes;bacteriophage;phage;viral genomics;canine circovirus;viral diversity;picornavirus;virus discovery;seawater viral communities;;;;;;;;;;;;;;;;;;;;;;
Body;kidney and liver microbiome;labial glands;submandibular gland;oral samples;forehead;fecal sample;feces metagenome;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eukaryota;eukaryota;metazoa;chordata;craniata;vertebrata;euteleostomi;mammalia;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antibiotics;antibiotic resistance;resistome;antibiotics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Human;human gut metagenome;human stool;human blood metagenome;human saliva metagenome;human microbiome;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age;adolescence;age;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pathogen;corynebacterium;mycobacterium tuberculosis;salmonella typhimurium;fish pathogens;clostridium difficile;clostridioides difficile;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaginal;estrous cycle;genital nerve;female sexual dysfunction (fsd);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;